relative_path,file_name,extension,size,modified_timestamp,sha256,category_guess,confidence,relationship,note
NEWNAME.SET\PAD\USER09.PAD,USER09.PAD,.pad,666,2007-06-28T09:46:20+00:00,07f71aaf251fe9e3c3f698fdf37a929ce6dbb3fbfe520b884dc6abc5f9179a1b,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PAD\USER10.PAD,USER10.PAD,.pad,661,2007-06-28T09:46:20+00:00,6c14e1854a8e23cdba92480ced63f3db561b71c4c791aa2cfe961865db74a3bb,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PERFORM\BANK01.PRF,BANK01.PRF,.prf,29244,2007-06-28T09:46:16+00:00,f029d4cd121054ccde85b35b1859fc73a07a37ec57174cb67a203a87c8839da0,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PERFORM\BANK02.PRF,BANK02.PRF,.prf,25481,2007-06-28T09:46:16+00:00,9c553a2eb42e0582bf9ba710526c14c2104a5977343e0a1d048690cdd9cf143b,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PERFORM\BANK03.PRF,BANK03.PRF,.prf,24810,2007-06-28T09:46:16+00:00,9f9ed86670948443d94d44436fc200c0da78e867d8d3cc90815bb1285961f351,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PERFORM\BANK04.PRF,BANK04.PRF,.prf,24709,2007-06-28T09:46:16+00:00,922eb6c711e5df8f6b800af54fd606acafb38ebd5ad2d7fbfa1eeaa93c93adca,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PERFORM\BANK05.PRF,BANK05.PRF,.prf,23741,2007-06-28T09:46:16+00:00,2580e643fc5d27100c79c4032ede4455654a2eb251914adf0035ac25d4cebf3b,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PERFORM\BANK06.PRF,BANK06.PRF,.prf,23152,2007-06-28T09:46:16+00:00,a0f4fca661a5808a941516268c190b72ed9addbdb8d954937ae5a71737b67b15,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PERFORM\BANK07.PRF,BANK07.PRF,.prf,28111,2007-06-28T09:46:16+00:00,bae51fb9b7aea31605d14749dc2de2bd9e864d09a6e6ba28a8c8a1a9cf7f90c1,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PERFORM\BANK08.PRF,BANK08.PRF,.prf,22954,2007-06-28T09:46:16+00:00,a0330ecf6934dff878b927d5ddb4a0783cff863dcfd5d45e9faac770b4034690,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PERFORM\BANK09.PRF,BANK09.PRF,.prf,32230,2007-06-28T09:46:16+00:00,902d4423699da54ee64e15f875a19e4940bbf4cb3bac7985a90b1318686efad5,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PERFORM\BANK10.PRF,BANK10.PRF,.prf,31879,2007-06-28T09:46:18+00:00,55478ed1987c4c2a0376db96ea6ccbaaaab191227932398dd7845ecf15c2abd3,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PERFORM\BANK11.PRF,BANK11.PRF,.prf,29437,2007-06-28T09:46:18+00:00,5f29c6270469b0ccdc3342a18b8c7cbba19aed35d2f7c3aca5314e2a79872668,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PERFORM\BANK12.PRF,BANK12.PRF,.prf,26615,2007-06-28T09:46:18+00:00,ced770d632df717eb61e0cec26da91fff4a311090e78dd0658756adedbe018ab,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PERFORM\BANK13.PRF,BANK13.PRF,.prf,31626,2007-06-28T09:46:18+00:00,0b067f6fc6e9c56c16d2ec59e771e96741ec54a4c30ee6edfd8e71f0888efb81,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PERFORM\BANK14.PRF,BANK14.PRF,.prf,22598,2007-06-28T09:46:18+00:00,87c827b4eb19ae68c4ca01dfebc7a13211449a78a841c69661f6d58b9fb55d96,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PERFORM\BANK15.PRF,BANK15.PRF,.prf,30181,2007-06-28T09:46:20+00:00,05fd9c2df5982e688ca73f69ff16b32fb45a986459387a607059fcd13b6d6023,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PERFORM\BANK16.PRF,BANK16.PRF,.prf,21975,2007-06-28T09:46:20+00:00,a25acf1cb9430f92fbdc3461e506a6e7267bb60de819e5adaa2b6fa29fd59a77,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\SONGBOOK\LISTDB.SBL,LISTDB.SBL,.sbl,2915,2007-06-28T09:46:16+00:00,ff581c43d6c7d109355a47d7edaaafd0227c67c52c7edecc0d08beff54ebcc8c,possible_unknown_binary,0.35,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\STYLE\USER01.STY,USER01.STY,.sty,767611,2007-06-28T09:46:22+00:00,628f80e276227c10e92f3d7d6a35f94df3f905824da55fa412cff82e3db340f6,possible_style_file,0.72,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK01.SBD,BANK01.SBD,.sbd,46514,2007-06-28T09:46:14+00:00,7022ac3b8174d98b86419bd63fa57cab37e242e6991b9ee0b772a8035789db53,possible_unknown_binary,0.35,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK02.SBD,BANK02.SBD,.sbd,47582,2007-06-28T09:46:14+00:00,0eac12193874dde7805c4f28544c78711d4f0cc6a9eb115aa0db89db22e8de74,possible_unknown_binary,0.35,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK03.SBD,BANK03.SBD,.sbd,47913,2007-06-28T09:46:14+00:00,b2aa0b2366dfecec0279f9fa90ba7b504320bca9e076294adf31c7a7d77305c8,possible_unknown_binary,0.35,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK04.SBD,BANK04.SBD,.sbd,47200,2007-06-28T09:46:16+00:00,5e2f55d6d44c2991b53a22f7ee5c50da2ce62dc836211ef20dd36824dfff9a8f,possible_unknown_binary,0.35,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK05.SBD,BANK05.SBD,.sbd,46636,2007-06-28T09:46:16+00:00,b22c9bdebc60ed362737e38e2326625b5e7ca28e9cd99cce34deeee43ca9ee80,possible_unknown_binary,0.35,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK06.SBD,BANK06.SBD,.sbd,51534,2007-06-28T09:46:16+00:00,a1152afc2ae4bae998397866178d36149b4471c5adcb44e94804ee733cf62ebf,possible_unknown_binary,0.35,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK07.SBD,BANK07.SBD,.sbd,2557,2007-06-28T09:46:16+00:00,1b90bedff70a55b59c918bb1ee608d33f42798f7ee077fe22e1ff23c40cba390,possible_unknown_binary,0.35,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
