"final_id","review_id","extension","source_top_folder","relative_path","classification","risk_tier","bytes","blocked_reason","owner_decision","owner_notes","final_action","final_writer_mode","final_safe_copy_allowed","final_writer_ready","source_file_copied","keyboard_output_generated","usb_write","hardware_load","deploy","payment"
"V1713-F0011","V1712-R0011",".pad","NEWNAME.SET","NEWNAME.SET\PAD\USER06.PAD","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","3648","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0012","V1712-R0012",".pad","NEWNAME.SET","NEWNAME.SET\PAD\USER07.PAD","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","877","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0013","V1712-R0013",".pad","NEWNAME.SET","NEWNAME.SET\PAD\USER08.PAD","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","529","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0014","V1712-R0014",".pad","NEWNAME.SET","NEWNAME.SET\PAD\USER09.PAD","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","666","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0015","V1712-R0015",".pad","NEWNAME.SET","NEWNAME.SET\PAD\USER10.PAD","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","661","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0016","V1712-R0016",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM01.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2609467","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0017","V1712-R0017",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM02.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2761573","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0018","V1712-R0018",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM03.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","1685510","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0019","V1712-R0019",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM04.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2570418","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0020","V1712-R0020",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM05.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","1894621","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0021","V1712-R0021",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM06.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","3678503","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0022","V1712-R0022",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM07.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2385716","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0023","V1712-R0023",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM08.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2343289","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0024","V1712-R0024",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM09.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2528316","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0025","V1712-R0025",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM10.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2035946","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0026","V1712-R0026",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM11.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2192345","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0027","V1712-R0027",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM12.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2802504","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0028","V1712-R0028",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM13.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","1801345","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0029","V1712-R0029",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM14.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2211601","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0030","V1712-R0030",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM15.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","3633676","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0031","V1712-R0031",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM16.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","3098360","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0032","V1712-R0032",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM17.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2876209","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0033","V1712-R0033",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM18.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","1852638","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0034","V1712-R0034",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM19.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2220968","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0035","V1712-R0035",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM20.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","1722445","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0036","V1712-R0036",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM21.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2595382","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0037","V1712-R0037",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM22.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2060104","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0038","V1712-R0038",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM23.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2531710","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0039","V1712-R0039",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM24.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2142487","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0040","V1712-R0040",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM25.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2164534","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0041","V1712-R0041",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM26.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2565758","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0042","V1712-R0042",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM27.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2287978","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0043","V1712-R0043",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM28.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2594508","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0044","V1712-R0044",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM29.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","1785173","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0045","V1712-R0045",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM30.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2270183","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0046","V1712-R0046",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM31.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","3137802","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0047","V1712-R0047",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM32.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","3074903","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0048","V1712-R0048",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM33.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2897098","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0049","V1712-R0049",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM34.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2405864","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0050","V1712-R0050",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM35.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","1940526","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0051","V1712-R0051",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM36.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2273202","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0052","V1712-R0052",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM37.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","1823568","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0053","V1712-R0053",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM38.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2826353","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0054","V1712-R0054",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM39.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","1708270","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0055","V1712-R0055",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM40.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2202160","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0056","V1712-R0056",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM41.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2326367","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0057","V1712-R0057",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM42.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","3891457","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0058","V1712-R0058",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM43.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","2400009","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0059","V1712-R0059",".pcm","NEWNAME.SET","NEWNAME.SET\PCM\RAM44.PCM","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","1897894","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
